Country	Population	Languages
Afghanistan	32564342	Pashto:41 Dari:27 Uzbek:8.5 Turkmen:2.5 Farsi:2
Akrotiri	15700	English:70 Greek:30
Albania	3029278	Albanian:92.8 Greek:5 Macedonian:0.6
Algeria	39542166	Arabic:72 Berber:22 French:2
Algeria	39542166	Arabic:72 Berber:22 French:2
American Samoa	54343	Samoan:88.6 English:3.6 Tongan:2.7
Andorra	 85580	Catalan:50 Spanish:30 French:7 Portuguese:13
Angola	 19625353	Portuguese:55.2 Umbundu:17 Kikongo:6.2 Kimbundu:6.8 Chokwe:4.5 Nhaneca:2.4 Nganguela:2.1 Fiote:2.4 Kwanhama:2.3 Muhumbi:2.1 Luvale:1
Anguilla	16418	English:97
Antigua and Barbuda	 92436	English:60 Spanish:20 Creole:17
Argentina	43431886	Spanish:87 Italian:3 English:2 German:2 French:1 Quechua:1
Armenia	    3056382	Armenian:97.9 Kurdish:1
Aruba	    112162	Papiamento:69.4 Spanish:13.7 English:7.1 Dutch:6.1 Mandarin:1.5
Australia	22751014	English:76.8 Mandarin:1.6 Italian:1.4 Arabic:1.3 Greek:1.2 Cantonese:1.2 Vietnamese:1.1
Austria	8665550	German:88.6 Turkish:2.3 Serbian:2.2 Croatian:1.6
Azerbaijan	9780780	Azerbaijani:92.5 Russian:1.4 Armenian:1.4
The Bahamas	324597	English:90 Creole:9
Bahrain	1346613	Arabic:70.5 English:11 Farsi:7 Urdu:6
Bangladesh	168957613	Bangla:98.8
Barbados	290604	Bajan:70 English:27
Belarus	9589689	Russian:70.2 Belarusian:23.4
Belgium	11323973	Dutch:59 French:39
Belize	347369	English:42.9 Spanish:36.6 Creole:24.6 Maya:10.5 German:3.2 Garifuna:2.9
Benin	10448647	French:70 Fon:10 Yoruba:11
Bermuda	70196	English:81 Portuguese:17
Bhutan	741919	Sharchhopka:28 Dzongkha:24 Lhotshamkha:22
Bolivia	10800882	Spanish:60.7 Quechua:21.2 Aymara:14.6 foreign:2.4 Guarani:0.6
Bosnia and Herzegovina	3867055	Bosnian:33 Croatian:10 Serbian:25 Aromanian:9
Botswana	2182719	Setswana:78.2 Kalanga:7.9 Sekgalagadi:2.8 English:2.1 Sesarwa:1.9 Sempukushu:1.7
Brazil	204259812	Portuguese:87 German:2 Italian:1
British Virgin Islands	33454	English:97
Brunei	429646	Brunei:30 English:5
Bulgaria	7186893	Bulgarian:76.8 Turkish:8.2 Roma:3.8
Burkina Faso	18931686	French:90
Burma	56320206	Burmese:93
Burundi	10742276	Kirundi:29.7 :9.1 French:0.3 Swahili:0.2
Cabo Verde	545993	Portuguese:75 Crioulo:10
Cambodia	15708756	Khmer:96.3 other:3.7
Cameroon	23739218	French:57 English:24
Canada	35099836	English:58.7 French:22 Punjabi:1.4 Italian:1.3 Spanish:1.3 German:1.3 Cantonese:1.2 Tagalog:1.2 Arabic:1.1
Cayman Islands	56092	English:90.9 Spanish:4 Filipino:3.3
Central African Republic	5391539	Sangho:63 French:22.5
Chad	11631456	French:57 Arabic:24
Chile	17508260	Spanish:79.5 English:4 Mapudungun:3
China	1367485388	Mandarin:70 Cantonese:9 Taiwanese:5 Wu:5 Minbei:4 Minnan:3
Christmas Island	2205	English:90
Cocos Islands	596	Malay:50 English:45
Colombia	46736728	Spanish:94
Comoros	780971	Shikomoro:95.9 French:2 Arabic:2
Democratic Republic of the Congo	79375136	French:30 Lingala:13 Swahili:5.3 Kikongo:12
Republic of the Congo	4755097	French:30 Lingala:13 Bateke:17.3 Monotokuba:11 Kikongo:1.4
Cook Islands	9838	English:86.4 Cook:76.2
Costa Rica	4814144	Spanish:73 English:22
Cote d'Ivoire	23295302	Dioula:42 French:4
Croatia	4464844	Croatian:95.6 Serbian:1.2
Cuba	11031433	Spanish:93
Curacao	148406	Papiamento:81.2 Dutch:8 Spanish:4 English:2.9
Cyprus	1189197	Greek:80.9 Turkish:0.2 English:4.1 Romanian:2.9 Russian:2.5 Bulgarian:2.2 Arabic:1.2 Filipino:1.1
Czech Republic	10644842	Czech:95.4 Slovak:1.6
Denmark	5581503	Danish:90 German:2 Faroese:1 Greenlandic:1
Dhekelia	15700	English:67 Greek:30
Djibouti	828324	Somali:71 Afara:22 Arabic:5 French:2
Dominica	73607	English:63 French:31
Dominican Republic	10478756	Spanish:92
Ecuador	15868396	Spanish:93
Egypt	88487396	Arabic:91 French:3 English:2
El Salvador	6141350	Spanish:83 Nawat:2
Equatorial Guinea	740743	Spanish:67.6
Eritrea	6527689	Tigrinya:50 Tigre:20 Arabic:11 English:5
Estonia	1265420	Estonian:68.5 Russian:29.6 Ukrainian:0.6
